Region,Consumption (ekWh),Floor area (ft2),EUI (kW/ft2),Emission (tCO2e),Emissions per Floor Area (KgCO2e/sq. ft),Reporting Year
Vancouver Coastal,203568.16,66284.66,3.071120226,2.172072267,0.032768853,2018
Vancouver Coastal,476338.290774337,43336,10.991745680,5.082529563,0.117281926,2019
Vancouver Coastal,480170.842656059,43336,11.080183742,5.123422891,0.118225561,2020
Vancouver Coastal,422504.352617279,43335.93389409,9.749515348,4.098291544,0.094570283,2021
Vancouver Coastal,203153.09,43335.952552662,4.687864880,2.335935490,0.053902946,2022
Vancouver Coastal,294665.16,22949,12.84,3.144077257,0.1370028,2019
Vancouver Coastal,380301.640107135,22949,16.571599639,4.057818500,0.176818968,2020
Vancouver Coastal,385894.775611404,22948.979925738,16.815334575,3.743178706,0.163108718,2021
Vancouver Coastal,203157.68,42910.3,4.734473541,2.167692446,0.050516833,2018
Vancouver Coastal,198955.98,42910,4.636587742,2.122860307,0.049472391,2019
Vancouver Coastal,198394.08,42910,4.623492892,2.116864834,0.049332669,2020
Vancouver Coastal,202112.3,42909.898319797,4.710155650,1.960488987,0.045688502,2021
Vancouver Coastal,193129.91,42909.916794937,4.500822291,2.220684957,0.051752255,2022
Vancouver Coastal,280351.01,64000,4.380484531,2.991345277,0.046739770,2019
Vancouver Coastal,300447.41,64000,4.694490781,3.205773865,0.050090217,2020
Vancouver Coastal,359716.97,64002.211337756,5.620383460,3.489254033,0.054517711,2021
Vancouver Coastal,335812.51,64002.238894331,5.246886918,3.861306565,0.060330805,2022
Vancouver Island,84428.642793924,21666.2,3.896790521,0.900853619,0.041578755,2020
Vancouver Island,226818.877635439,21666.2,10.468789065,2.200142750,0.101547237,2021
Vancouver Island,144923.809523809,12852,11.276362397,1.666391931,0.129660125,2022
Vancouver Island,149439.75,29870,5.003004687,1.594522133,0.053382060,2018
Vancouver Island,164824.38,29870,5.518057583,1.758676135,0.058877674,2019
Vancouver Island,168110.21,29870,5.628061935,1.793735941,0.060051421,2020
Vancouver Island,185413.28,29869.959045474,6.207349656,1.798508519,0.060211282,2021
Vancouver Island,152391.64,29869.971906182,5.101834059,1.752260033,0.058662929,2022
Vancouver Island,236488.53,55166,4.286852953,2.523332615,0.045740721,2018
Vancouver Island,219997.53,45535,4.831394092,2.347373645,0.051550975,2019
Vancouver Island,217820,45535,4.783573076,2.3241394,0.051040725,2020
Vancouver Island,213889.52,45531.341062682,4.697632774,2.074728002,0.045567030,2021
Vancouver Island,222905.88,45531.360666502,4.895656021,2.563060971,0.056292211,2022
Vancouver Island,217579.84,30250,7.192721983,2.321576893,0.076746344,2018
Vancouver Island,231364.84,20500,11.286089756,2.468662843,0.120422578,2019
Vancouver Island,221456.96,20500,10.802778537,2.362945763,0.115265647,2020
Vancouver Island,236635.78,20505.249343832,11.540253719,2.295366687,0.111940443,2021
Vancouver Island,245722.07,20505.258172503,11.983368750,2.825410650,0.137789567,2022
Vancouver Island,97056.32,13680,7.094760234,1.035590934,0.075701092,2018
Vancouver Island,106969.29,24000,4.45705375,1.141362324,0.047556764,2019
Vancouver Island,104187.24,24000,4.341135,1.111677851,0.046319910,2020
Vancouver Island,98227.61,24003.520229263,4.092216852,0.952807660,0.039694497,2021
Vancouver Island,95987.31,24003.530564137,3.998882987,1.103700485,0.045980756,2022
Vancouver Coastal,282028.64,64481,4.373825468,3.009245589,0.046668718,2018
Vancouver Coastal,302444.3,64481,4.690440595,3.227080681,0.050047001,2019
Vancouver Coastal,306821.61,64481,4.758325863,3.273786579,0.050771337,2020
Vancouver Coastal,294287.01,64480.882433987,4.563942038,2.854583526,0.044270230,2021
Vancouver Coastal,289197.92,64480.910196657,4.485016094,3.325313363,0.051570509,2022
Fraser,363887.27,58160,6.256658700,3.882677171,0.066758548,2018
Fraser,358810.67,58160,6.169371905,3.828509849,0.065827198,2019
Fraser,384544,58160,6.611829436,4.10308448,0.070548220,2020
Fraser,393382.490392594,58159.883680878,6.763811505,3.815809527,0.065608961,2021
Northern,305773.44,65490,4.669009620,3.262602605,0.049818333,2018
Northern,338482.55,65490,5.168461597,3.611608809,0.055147485,2019
Northern,315566.63,65490,4.818546801,3.367095942,0.051413894,2020
Northern,316666.83,65489.891396449,4.835354331,3.071667744,0.046902929,2021
Northern,326513.53,65489.919593555,4.985706686,3.754383173,0.057327650,2022
Northern,251208.92,67320,3.731564468,2.680399176,0.039815793,2018
Northern,246408.95,67320,3.660263666,2.629183497,0.039055013,2019
Northern,229608.79,67320,3.410706922,2.449925789,0.036392243,2020
Northern,240256.27,67319.971445498,3.568870646,2.330485435,0.034618040,2021
Northern,243876.18,67320.000430557,3.622640797,2.804185868,0.041654573,2022
Vancouver Coastal,224905.97,46201.8,4.867904930,2.399746700,0.051940546,2018
Vancouver Coastal,222116.56,46202,4.807509632,2.369983695,0.051296128,2019
Vancouver Coastal,225123.41,46202,4.872590148,2.402066785,0.051990537,2020
Vancouver Coastal,225419.74,46201.932681643,4.879011048,2.186571117,0.047326399,2021
Vancouver Coastal,206415.33,46201.952574190,4.467675466,2.373446030,0.051371120,2022
Vancouver Island,305566.35,25785,11.850546830,3.260392954,0.126445335,2018
Vancouver Island,299580.18,25785,11.618389761,3.196520521,0.123968219,2019
Vancouver Island,297784.92,25785,11.548765561,3.177365096,0.123225329,2020
Vancouver Island,296508.55,25784.839764124,11.499336537,2.876132461,0.111543546,2021
Vancouver Island,310625.07,28217,11.008437112,3.571691305,0.126579413,2022
Fraser,182500.83,39510,4.619104784,1.947283856,0.049285848,2018
Fraser,176320.98,39510,4.462692483,1.881344857,0.047616929,2019
Fraser,180255.9,39510,4.562285497,1.923330453,0.048679586,2020
Fraser,193736.85,39509.901936471,4.903501161,1.879247135,0.047563953,2021
Fraser,198177.96,39509.918947720,5.015903988,2.278729455,0.057674870,2022
Vancouver Island,477542.78,32647,14.627462860,5.095381463,0.156075029,2018
Vancouver Island,356604.861085989,32647,10.923051462,3.804973868,0.116548959,2019
Vancouver Island,473521.44,32647,14.504286458,5.052473765,0.154760737,2020
Vancouver Island,455969.86,32646.940293881,13.966695068,4.422906912,0.135476920,2021
Vancouver Island,497826.48,32646.954350236,15.248787824,5.724207998,0.175336662,2022
Vancouver Island,367328.72,64058,5.734314527,3.919397442,0.061185136,2018
Vancouver Island,351768.62,64058,5.491408099,3.753371175,0.058593324,2019
Vancouver Island,247988.62,64058,3.871313809,2.646038575,0.041306918,2020
Vancouver Island,250821.71,64057.968393715,3.915542692,2.432970186,0.037980758,2021
Vancouver Island,244093.08,64057.995974296,3.810501348,2.806679871,0.043814669,2022
Vancouver Island,222078.78,21620,10.271913969,2.369580583,0.109601322,2018
Vancouver Island,236832.72,17450,13.572075645,2.527005122,0.144814047,2019
Vancouver Island,230957.17,17450,13.235367908,2.464313004,0.141221376,2020
Vancouver Island,224414.15,17448.298785486,12.861663636,2.176816896,0.124758117,2021
