CreatedMonthNo,CreatedWeekNo,IssueDate,PermitElapsedDays,ProjectValue,TypeOfWork,PermitCategory,PropertyUse,IssueYear,GeoLocalArea
6,25,07-08-2018,412,1104750,New Building,New Build - Low Density Housing,Dwelling Uses,2018,West Point Grey
6,25,07-08-2018,412,225000,New Building,New Build - Low Density Housing,Dwelling Uses,2018,West Point Grey
6,25,02-11-2017,133,10000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Marpole
6,25,25-07-2017,33,18000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Downtown
6,25,18-04-2018,300,710430,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Hastings-Sunrise
6,26,12-07-2017,16,180000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Shaughnessy
6,26,29-11-2017,156,224830,New Building,New Build - Low Density Housing,Dwelling Uses,2017,Kensington-Cedar Cottage
6,26,12-07-2017,16,25000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Hastings-Sunrise
6,26,18-07-2017,21,50000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Institutional Uses,2017,South Cambie
6,26,06-07-2018,373,932000,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Dunbar-Southlands
6,26,28-07-2017,30,160000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
6,26,13-04-2018,288,190545,New Building,New Build - Standalone Laneway,Dwelling Uses,2018,Hastings-Sunrise
6,26,09-04-2018,283,615500,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Kensington-Cedar Cottage
6,26,21-07-2017,21,10000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Sunset
6,26,26-09-2017,88,1000000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Parking Uses,2017,Downtown
7,27,12-01-2018,191,173760,New Building,New Build - Standalone Laneway,Dwelling Uses,2018,Sunset
7,27,21-07-2017,16,2000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Killarney
7,27,25-07-2017,20,61626.38,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
7,27,17-08-2017,43,70000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Kitsilano
7,27,29-08-2017,54,25000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Downtown
7,27,25-07-2017,18,8000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Service Uses,2017,West End
7,27,24-11-2017,140,700500,New Building,New Build - Low Density Housing,Dwelling Uses,2017,Sunset
7,28,24-01-2018,198,1049450,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Killarney
7,28,27-02-2018,232,183000,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Kitsilano
7,28,27-07-2017,17,85000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
7,28,14-08-2017,33,160000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Service Uses,2017,Downtown
7,28,01-08-2017,20,55000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Kitsilano
7,28,02-08-2017,20,114000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Fairview
7,28,16-08-2017,34,950000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
7,28,11-08-2017,29,6000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Victoria-Fraserview
7,28,25-08-2017,42,60000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
7,28,06-10-2017,84,70000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Renfrew-Collingwood
7,28,01-02-2018,202,775250,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Sunset
7,29,25-08-2017,39,40000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,West End
7,29,24-01-2018,191,11000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2018,Kensington-Cedar Cottage
7,29,03-08-2017,17,28000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
7,29,28-07-2017,10,40000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Institutional Uses,2017,Sunset
7,29,09-08-2017,22,175000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
7,29,02-10-2017,75,250000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Shaughnessy
7,29,10-08-2017,22,50000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Fairview
7,29,06-04-2018,261,649500,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Victoria-Fraserview
7,29,10-08-2017,22,50000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Fairview
7,29,22-03-2018,245,208100,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Kensington-Cedar Cottage
7,29,05-09-2017,47,51000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Mount Pleasant
7,29,09-08-2017,20,200000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
7,29,07-05-2018,290,700837.5,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Sunset
7,29,18-09-2017,59,153675,New Building,New Build - Standalone Laneway,Dwelling Uses,2017,Sunset
7,30,17-08-2017,24,15000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Downtown
7,30,23-08-2017,30,14181.99,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Cultural/Recreational Uses,2017,Kitsilano
7,30,05-09-2017,41,100000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Kitsilano
7,30,19-09-2017,54,90000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,West Point Grey
7,30,12-06-2018,319,639750,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Sunset
7,30,20-03-2018,235,170500,New Building,New Build - Standalone Laneway,Dwelling Uses,2018,Kensington-Cedar Cottage
7,30,18-05-2018,294,150750,New Building,New Build - Standalone Laneway,Dwelling Uses,2018,Sunset
