CreatedMonthNo,CreatedWeekNo,IssueDate,PermitElapsedDays,ProjectValue,TypeOfWork,PermitCategory,PropertyUse,IssueYear,GeoLocalArea
6,25,43317,412,1104750,2,1,Dwelling Uses,2018,West Point Grey
6,25,43317,412,225000,2,1,Dwelling Uses,2018,West Point Grey
6,25,43039,133,10000,1,3,Office Uses,2017,Marpole
6,25,42939,33,18000,1,4,Dwelling Uses,2017,Downtown
6,25,43206,300,710430,2,1,Dwelling Uses,2018,Hastings-Sunrise
6,26,42926,16,180000,1,4,Dwelling Uses,2017,Shaughnessy
6,26,43066,156,224830,2,1,Dwelling Uses,2017,Kensington-Cedar Cottage
6,26,42926,16,25000,1,4,Dwelling Uses,2017,Hastings-Sunrise
6,26,42932,21,50000,1,3,Institutional Uses,2017,South Cambie
6,26,43285,373,932000,2,1,Dwelling Uses,2018,Dunbar-Southlands
6,26,42942,30,160000,1,3,Office Uses,2017,Downtown
6,26,43201,288,190545,2,2,Dwelling Uses,2018,Hastings-Sunrise
6,26,43197,283,615500,2,1,Dwelling Uses,2018,Kensington-Cedar Cottage
6,26,42935,21,10000,1,4,Dwelling Uses,2017,Sunset
6,26,43002,88,1000000,1,3,Parking Uses,2017,Downtown
7,27,43110,191,173760,2,2,Dwelling Uses,2018,Sunset
7,27,42935,16,2000,1,4,Dwelling Uses,2017,Killarney
7,27,42939,20,61626.38,1,3,Office Uses,2017,Downtown
7,27,42962,43,70000,1,4,Dwelling Uses,2017,Kitsilano
7,27,42974,54,25000,1,4,Dwelling Uses,2017,Downtown
7,27,42939,18,8000,1,3,Service Uses,2017,West End
7,27,43061,140,700500,2,1,Dwelling Uses,2017,Sunset
7,28,43122,198,1049450,2,1,Dwelling Uses,2018,Killarney
7,28,43156,232,183000,2,1,Dwelling Uses,2018,Kitsilano
7,28,42941,17,85000,1,3,Office Uses,2017,Downtown
7,28,42959,33,160000,1,3,Service Uses,2017,Downtown
7,28,42946,20,55000,1,4,Dwelling Uses,2017,Kitsilano
7,28,42947,20,114000,1,3,Office Uses,2017,Fairview
7,28,42961,34,950000,1,3,Office Uses,2017,Downtown
7,28,42956,29,6000,1,4,Dwelling Uses,2017,Victoria-Fraserview
7,28,42970,42,60000,1,3,Office Uses,2017,Downtown
7,28,43012,84,70000,1,4,Dwelling Uses,2017,Renfrew-Collingwood
7,28,43130,202,775250,2,1,Dwelling Uses,2018,Sunset
7,29,42970,39,40000,1,4,Dwelling Uses,2017,West End
7,29,43122,191,11000,1,3,Office Uses,2018,Kensington-Cedar Cottage
7,29,42948,17,28000,1,3,Office Uses,2017,Downtown
7,29,42942,10,40000,1,3,Institutional Uses,2017,Sunset
7,29,42954,22,175000,1,3,Office Uses,2017,Downtown
7,29,43008,75,250000,1,4,Dwelling Uses,2017,Shaughnessy
7,29,42955,22,50000,1,3,Office Uses,2017,Fairview
7,29,43194,261,649500,2,1,Dwelling Uses,2018,Victoria-Fraserview
7,29,42955,22,50000,1,3,Office Uses,2017,Fairview
7,29,43179,245,208100,2,1,Dwelling Uses,2018,Kensington-Cedar Cottage
7,29,42981,47,51000,1,3,Office Uses,2017,Mount Pleasant
7,29,42954,20,200000,1,3,Office Uses,2017,Downtown
7,29,43225,290,700837.5,2,1,Dwelling Uses,2018,Sunset
7,29,42994,59,153675,2,2,Dwelling Uses,2017,Sunset
7,30,42962,24,15000,1,4,Dwelling Uses,2017,Downtown
7,30,42968,30,14181.99,1,3,Cultural/Recreational Uses,2017,Kitsilano
7,30,42981,41,100000,1,3,Office Uses,2017,Kitsilano
7,30,42995,54,90000,1,4,Dwelling Uses,2017,West Point Grey
7,30,43261,319,639750,2,1,Dwelling Uses,2018,Sunset
7,30,43177,235,170500,2,2,Dwelling Uses,2018,Kensington-Cedar Cottage
7,30,43236,294,150750,2,2,Dwelling Uses,2018,Sunset
7,30,43236,294,150750,2,2,Dwelling Uses,2018,Sunset
7,30,43236,294,161250,2,2,Dwelling Uses,2018,Sunset
7,31,43017,72,37000,1,3,Office Uses,2017,Downtown
7,31,43017,72,37000,1,3,Office Uses,2017,Downtown
7,31,43284,339,165357,2,1,Dwelling Uses,2018,Hastings-Sunrise
7,31,42961,16,95000,1,3,Office Uses,2017,Downtown
7,31,43261,316,651750,2,1,Dwelling Uses,2018,West Point Grey
8,31,42988,41,35000,1,4,Dwelling Uses,2017,Downtown
8,31,42982,36,30000,1,3,"Institutional Uses,Service Uses",2017,Mount Pleasant
8,31,42981,35,1600,1,4,Dwelling Uses,2017,Hastings-Sunrise
8,31,42956,9,89925,1,3,Institutional Uses,2017,Oakridge
8,31,43277,330,217775,2,1,Dwelling Uses,2018,Riley Park
8,31,42976,28,0,1,4,Dwelling Uses,2017,Fairview
8,31,43023,74,72000,1,3,Office Uses,2017,Downtown
8,31,42984,35,18000,1,3,Office Uses,2017,Downtown
8,31,43036,87,11000,1,3,Office Uses,2017,Downtown
8,31,43061,112,85000,1,4,Dwelling Uses,2017,West End
8,32,43255,302,216500,2,2,Dwelling Uses,2018,Killarney
8,32,43250,297,167250,2,1,Dwelling Uses,2018,Hastings-Sunrise
8,32,42996,42,75000,1,4,Dwelling Uses,2017,Downtown
8,32,43005,50,65000,1,4,Dwelling Uses,2017,Riley Park
8,32,43023,68,62000,1,3,Office Uses,2017,Downtown
8,32,43232,276,1033355,2,1,Dwelling Uses,2018,Oakridge
8,32,43018,62,15000,1,3,Office Uses,2017,West End
8,33,43351,392,218275,2,1,Dwelling Uses,2018,Sunset
8,33,43061,102,10000,1,3,Office Uses,2017,Strathcona
8,33,43619,660,1280788,2,1,Dwelling Uses,2019,Kerrisdale
8,33,42990,31,100000,1,4,Dwelling Uses,2017,South Cambie
8,33,42995,35,205000,1,3,"Dwelling Uses,Retail Uses",2017,Kitsilano
8,33,42970,9,68000,1,3,Office Uses,2017,Downtown
8,33,42989,28,50000,1,3,Office Uses,2017,Downtown
8,33,42989,27,120000,1,3,Office Uses,2017,Downtown
8,34,42998,32,165000,1,3,Office Uses,2017,Downtown
8,34,42991,25,5000,1,4,Dwelling Uses,2017,Kitsilano
8,34,42987,21,255000,1,4,Dwelling Uses,2017,Downtown
8,34,42984,18,750000,1,3,Office Uses,2017,Downtown
8,34,42989,23,600000,1,3,"Office Uses,Service Uses",2017,Sunset
8,34,43212,245,156250,2,1,Dwelling Uses,2018,Riley Park
8,34,42995,27,110000,1,4,Dwelling Uses,2017,Hastings-Sunrise
8,34,42975,7,150000,1,3,Office Uses,2017,Downtown
8,34,42975,7,60000,1,3,Institutional Uses,2017,Downtown
8,34,43212,244,1131127.5,2,1,Dwelling Uses,2018,Oakridge
8,34,43278,310,221352.5,2,1,Dwelling Uses,2018,Oakridge
8,34,43030,62,80000,1,3,Retail Uses,2017,Fairview
8,34,43197,228,85000,1,4,Dwelling Uses,2018,Victoria-Fraserview
8,34,43157,188,1334200,2,1,Dwelling Uses,2018,Kerrisdale
8,34,43003,34,180000,1,3,Office Uses,2017,Downtown
8,34,43120,151,25000,1,4,Dwelling Uses,2018,Killarney
8,34,43225,255,604250,2,1,Dwelling Uses,2018,Sunset
8,34,43241,271,743500,2,1,Dwelling Uses,2018,Hastings-Sunrise
8,34,42994,24,35000,1,4,Dwelling Uses,2017,Fairview
8,34,43256,286,264300,2,1,Dwelling Uses,2018,Oakridge
8,34,43130,160,942000,2,1,Dwelling Uses,2018,Marpole
8,35,43108,135,50000,1,4,Dwelling Uses,2018,Grandview-Woodland
8,35,43054,80,45000,1,3,Office Uses,2017,Fairview
8,35,43026,52,48000,1,4,Dwelling Uses,2017,Kerrisdale
9,35,43010,33,21000,1,4,Dwelling Uses,2017,Fairview
9,35,43108,131,1040582.5,2,1,Dwelling Uses,2018,Victoria-Fraserview
9,35,43114,137,225000,2,1,Dwelling Uses,2018,Victoria-Fraserview
9,35,43003,26,9000,1,3,Retail Uses,2017,Riley Park
9,36,43163,182,230305,2,1,Dwelling Uses,2018,Hastings-Sunrise
9,36,42983,1,11000,1,4,Dwelling Uses,2017,Fairview
9,36,42998,16,25000,1,4,Dwelling Uses,2017,Downtown
9,36,43004,22,150000,1,4,Dwelling Uses,2017,Fairview
9,36,43009,25,265000,1,3,Office Uses,2017,Downtown
9,36,43003,19,10000,1,3,Office Uses,2017,Fairview
9,37,43009,21,200000,1,4,Dwelling Uses,2017,Downtown
9,37,43010,22,5000,1,3,Office Uses,2017,Downtown
9,37,43009,21,5000,1,3,Office Uses,2017,Downtown
9,37,43009,21,72000,1,3,Cultural/Recreational Uses,2017,Downtown
9,37,43176,188,179842.5,2,2,Dwelling Uses,2018,Kensington-Cedar Cottage
9,37,43179,190,192997.5,2,1,Dwelling Uses,2018,Kerrisdale
9,37,43036,47,14000,1,3,Office Uses,2017,Downtown
9,37,43233,244,221500,2,2,Dwelling Uses,2018,Hastings-Sunrise
9,37,43019,30,100,1,4,Dwelling Uses,2017,Victoria-Fraserview
9,37,43002,12,4900,1,4,Dwelling Uses,2017,Riley Park
9,37,43009,19,50000,1,4,Dwelling Uses,2017,West End
9,37,43261,271,172750,2,1,Dwelling Uses,2018,West Point Grey
9,37,43019,29,625000,1,3,Office Uses,2017,Downtown
9,37,43012,22,10000,1,4,Dwelling Uses,2017,Fairview
9,37,43011,21,40000,1,4,Dwelling Uses,2017,Downtown
9,37,43023,32,220000,1,3,Office Uses,2017,Downtown
9,37,43009,18,8000,1,4,Dwelling Uses,2017,Kensington-Cedar Cottage
9,38,43012,18,76000,1,4,Dwelling Uses,2017,Kitsilano
9,38,43036,42,110000,1,3,Office Uses,2017,Fairview
9,38,43017,22,28000,1,3,Retail Uses,2017,Downtown
9,38,43088,93,3350000,1,4,Dwelling Uses,2017,Downtown
9,38,43120,125,200000,1,3,Wholesale Uses,2018,Mount Pleasant
9,38,43002,7,1,1,3,Cultural/Recreational Uses,2017,West Point Grey
9,38,43036,41,5000,1,3,Retail Uses,2017,West Point Grey
9,38,43199,203,735000,2,1,Dwelling Uses,2018,Kensington-Cedar Cottage
9,38,43338,341,224325,2,2,Dwelling Uses,2018,West Point Grey
9,38,43011,13,586000,1,3,Office Uses,2017,Downtown
9,38,43032,34,10000,1,3,Office Uses,2017,Downtown
9,39,43030,29,30000,1,3,Retail Uses,2017,Arbutus Ridge
9,39,43037,36,50000,1,3,"Office Uses,Wholesale Uses",2017,Fairview
9,39,43029,26,138543.5,1,4,Dwelling Uses,2017,Downtown
9,39,43260,257,516500,2,1,Dwelling Uses,2018,Grandview-Woodland
9,39,43010,7,30000,1,3,Retail Uses,2017,Downtown
9,39,43138,135,836500,2,1,Dwelling Uses,2018,Renfrew-Collingwood
9,39,43039,35,137840,1,4,Dwelling Uses,2017,Mount Pleasant
9,39,43200,196,210080,2,1,Dwelling Uses,2018,Sunset
9,39,43025,20,4000,1,4,Dwelling Uses,2017,Kitsilano
9,39,43122,117,250000,1,4,Dwelling Uses,2018,Kitsilano
9,39,43305,300,271100,2,2,Dwelling Uses,2018,Kerrisdale
10,40,43029,21,30000,1,4,Dwelling Uses,2017,West End
10,40,43121,113,25000,1,3,Retail Uses,2018,Kitsilano
10,40,43375,367,725250,2,1,Dwelling Uses,2018,Hastings-Sunrise
